Game,Link,Week,Johannes,Sunniva,Verdict
La Cucaracha (Bugs in the Kitchen),https://boardgamegeek.com/boardgame/137909/bugs-kitchen,24,KEEP,CULL,KEEP
Rhino Hero: Super Battle,https://boardgamegeek.com/boardgame/218333/rhino-hero-super-battle,24,KEEP,KEEP,KEEP
Venice,https://boardgamegeek.com/boardgame/274861/venice,24,CULL,CULL,CULL
Medici,https://boardgamegeek.com/boardgame/46/medici,24,KEEP,KEEP,KEEP
Power Grid: The Card Game,https://boardgamegeek.com/boardgame/203780/power-grid-card-game,24,CULL,CULL,CULL
Not Alone,https://boardgamegeek.com/boardgame/194879/not-alone,24,KEEP,KEEP,KEEP
Letter Jam,https://boardgamegeek.com/boardgame/275467/letter-jam,24,KEEP,KEEP,KEEP
Boomerang: Europe,https://boardgamegeek.com/boardgame/300367/boomerang-europe,24,CULL,CULL,CULL
Lawyer Up,https://boardgamegeek.com/boardgame/267401/lawyer,24,CULL,CULL,CULL
Innovation,https://boardgamegeek.com/boardgame/63888/innovation,24,CULL,CULL,CULL
Brikks,https://boardgamegeek.com/boardgame/257726/brikks,24,KEEP,CULL,KEEP
Smallworld,https://boardgamegeek.com/boardgame/40692/small-world,23,KEEP,CULL,KEEP
XCOM: The Board Game,https://boardgamegeek.com/boardgame/163602/xcom-board-game,23,CULL,CULL,CULL
3 Laws of Robotics,https://boardgamegeek.com/boardgame/271447/3-laws-robotics,23,CULL,CULL,CULL
Insider,https://boardgamegeek.com/boardgame/206051/insider,23,KEEP,KEEP,KEEP
Ride the Rails,https://boardgamegeek.com/boardgame/297486/ride-rails,23,KEEP,CULL,KEEP
Irish Gauge,https://boardgamegeek.com/boardgame/161882/irish-gauge,23,CULL,CULL,CULL
Mini Rails,https://boardgamegeek.com/boardgame/225818/mini-rails,23,KEEP,KEEP,KEEP
"Gulf, Mobile, & Ohio",https://boardgamegeek.com/boardgame/36424/gulf-mobile-ohio,23,KEEP,KEEP,KEEP
Grand Austria Hotel,https://boardgamegeek.com/boardgame/182874/grand-austria-hotel,23,KEEP,KEEP,KEEP
Crisis,https://boardgamegeek.com/boardgame/128721/crisis,23,KEEP,KEEP,KEEP
Hansa Teutonica: Big Box,https://boardgamegeek.com/boardgame/286749/hansa-teutonica-big-box,23,KEEP,KEEP,KEEP
Lockup: A Roll Player Tale,https://boardgamegeek.com/boardgame/240855/lockup-roll-player-tale,23,KEEP,CULL,KEEP
Founders of Gloomhaven,https://boardgamegeek.com/boardgame/214032/founders-gloomhaven,23,CULL,CULL,CULL
Castell,https://boardgamegeek.com/boardgame/238638/castell,23,KEEP,KEEP,KEEP
Nothing Personal,https://boardgamegeek.com/boardgame/120523/nothing-personal,23,KEEP,CULL,KEEP
Imperial,https://boardgamegeek.com/boardgame/24181/imperial,23,KEEP,CULL,KEEP
Steampunk Rally,https://boardgamegeek.com/boardgame/162007/steampunk-rally,23,CULL,CULL,CULL
Pot de Vin,https://boardgamegeek.com/boardgame/232078/pot-de-vin,22,CULL,CULL,CULL
Walk the Plank!,https://boardgamegeek.com/boardgame/35505/walk-plank,22,CULL,KEEP,CULL
Coloretto,https://boardgamegeek.com/boardgame/5782/coloretto,22,CULL,CULL,CULL
Exit: The Game - The Haunted Roller Coaster,https://boardgamegeek.com/boardgame/269968/exit-game-haunted-roller-coaster,22,CULL,CULL,CULL
Exit: The Game + Puzzle – The Deserted Lighthouse,https://boardgamegeek.com/boardgame/298282/exit-game-puzzle-deserted-lighthouse,22,KEEP,KEEP,CULL
The Mysterious Forest,https://boardgamegeek.com/boardgame/204592/mysterious-forest,22,CULL,CULL,CULL
King of Tokyo: Dark Edition,https://boardgamegeek.com/boardgame/293141/king-tokyo-dark-edition,22,KEEP,KEEP,KEEP
Throw Throw Burrito,https://boardgamegeek.com/boardgame/274533/throw-throw-burrito,22,KEEP,KEEP,KEEP
Bermuda Pirates,https://boardgamegeek.com/boardgame/244909/bermuda-pirates,22,CULL,CULL,CULL
Las Vegas,https://boardgamegeek.com/boardgame/117959/las-vegas,22,KEEP,KEEP,KEEP
Loony Quest,https://boardgamegeek.com/boardgame/136991/loony-quest,22,KEEP,CULL,KEEP
ICECOOL,https://boardgamegeek.com/boardgame/177524/icecool,22,KEEP,KEEP,KEEP
Pyramid of Pengqueen,https://boardgamegeek.com/boardgame/36648/pyramid-pengqueen,22,KEEP,KEEP,KEEP
Slide Quest,https://boardgamegeek.com/boardgame/271785/slide-quest,21,CULL,CULL,CULL
The Crew,https://boardgamegeek.com/boardgame/284083/crew-quest-planet-nine,21,KEEP,KEEP,KEEP
London,https://boardgamegeek.com/boardgame/65781/london,21,CULL,CULL,CULL
Aqualin,https://boardgamegeek.com/boardgame/295948/aqualin,21,KEEP,KEEP,KEEP
Ubongo,https://boardgamegeek.com/boardgame/16986/ubongo,21,CULL,CULL,CULL
Raccoon Tycoon,https://boardgamegeek.com/boardgame/254386/raccoon-tycoon,21,KEEP,KEEP,KEEP
Ticket to Ride: Europe,https://boardgamegeek.com/boardgame/14996/ticket-ride-europe,19,CULL,CULL,CULL
Lord of the Rings: Journeys in Middle Earth,https://boardgamegeek.com/boardgame/269385/lord-rings-journeys-middle-earth,19,CULL,KEEP,KEEP
Lords of Vegas,https://boardgamegeek.com/boardgame/20437/lords-vegas,19,CULL,CULL,CULL
Drawn to Adventure,https://boardgamegeek.com/boardgame/301441/drawn-adventure,19,CULL,CULL,CULL
Blood Rage,https://boardgamegeek.com/boardgame/170216/blood-rage,19,KEEP,KEEP,KEEP
Escape: The Curse of the Temple Big Box,https://boardgamegeek.com/boardgame/157820/escape-curse-temple-big-box,19,KEEP,KEEP,KEEP
Flipships,https://boardgamegeek.com/boardgame/223215/flip-ships,19,KEEP,KEEP,KEEP
Century: Spice Road,https://boardgamegeek.com/boardgame/209685/century-spice-road,19,CULL,CULL,CULL
Mental Blocks,https://boardgamegeek.com/boardgame/275089/mental-blocks,19,KEEP,KEEP,KEEP
Fast Forward: FORTUNE,https://boardgamegeek.com/boardgame/256801/fast-forward-fortune,19,CULL,CULL,CULL
Castles of Burgandy,https://boardgamegeek.com/boardgame/84876/castles-burgundy,18,KEEP,KEEP,KEEP
Strasbourg,https://boardgamegeek.com/boardgame/91873/strasbourg,18,KEEP,CULL,KEEP
Rialto,https://boardgamegeek.com/boardgame/119591/rialto,18,KEEP,KEEP,KEEP
Trajan,https://boardgamegeek.com/boardgame/102680/trajan,18,KEEP,KEEP,KEEP
AquaSphere,https://boardgamegeek.com/boardgame/159508/aquasphere,18,KEEP,KEEP,KEEP
Merlin,https://boardgamegeek.com/boardgame/302189/merlin-big-box,18,CULL,CULL,KEEP
Amerigo,https://boardgamegeek.com/boardgame/137408/amerigo,18,KEEP,CULL,KEEP
Forum Trajanum,https://boardgamegeek.com/boardgame/244049/forum-trajanum,18,CULL,CULL,KEEP
Imperial Settlers: Empires of the North,https://boardgamegeek.com/boardgame/270844/imperial-settlers-empires-north,17,CULL,CULL,CULL
Raptor,https://boardgamegeek.com/boardgame/177639/raptor,17,CULL,CULL,CULL
