Publisher,# Keep,# Cull,Total Games by This Publisher,Games
KOSMOS,5,4,9,"Aqualin (KEEP)
Drop It (KEEP)
Exit: The Game + Puzzle – The Deserted Lighthouse (CULL)
Exit: The Game – The Haunted Roller Coaster (CULL)
Imhotep: The Duel (CULL)
Lost Cities (KEEP)
The Crew: The Quest for Planet Nine (KEEP)
Through the Desert (KEEP)
Ubongo (CULL)"
Lookout Games,6,2,8,"Bärenpark (KEEP)
Foothills (KEEP)
Glasgow (CULL)
Grand Austria Hotel (KEEP)
Isle of Skye: From Chieftain to King (KEEP)
Patchwork (KEEP)
Patchwork Express (CULL)
Riverboat (KEEP)"
Hans im Glück,4,3,7,"Amun-Re (CULL)
Carcassonne (CULL)
Carcassonne: Hunters and Gatherers (CULL)
Goa (KEEP)
Majesty: For the Realm (KEEP)
Ricochet Robots (KEEP)
Stone Age (KEEP)"
Alderac Entertainment Group,3,3,6,"Cat Lady (CULL)
Love Letter (KEEP)
Mystic Vale (KEEP)
Point Salad (CULL)
Tiny Towns (KEEP)
Valley of the Kings: Premium Edition (CULL)"
eggertspiele,5,0,5,"Blackout: Hong Kong (KEEP)
Era: Medieval Age (KEEP)
Heaven & Ale (KEEP)
Mombasa (KEEP)
Porta Nigra (KEEP)"
Czech Games Edition,4,1,5,"Codenames: Duet (KEEP)
Letter Jam (KEEP)
Pictomania (KEEP)
Pulsar 2849 (KEEP)
Tash-Kalar: Arena of Legends (CULL)"
Days of Wonder,3,2,5,"Five Tribes (CULL)
Memoir '44 (KEEP)
Quadropolis (KEEP)
Small World (KEEP)
Ticket to Ride: Europe (CULL)"
Fantasy Flight Games,3,2,5,"Cosmic Encounter Duel (CULL)
Star Wars: Rebellion (KEEP)
The Lord of the Rings (KEEP)
The Lord of the Rings: Journeys in Middle-Earth (KEEP)
XCOM: The Board Game (CULL)"
Pegasus Spiele,4,0,4,"Crown of Emara (KEEP)
Hansa Teutonica: Big Box (KEEP)
Rialto (KEEP)
Strasbourg (KEEP)"
Pearl Games,4,0,4,"Bruxelles 1893 (KEEP)
Ginkgopolis (KEEP)
The Bloody Inn (KEEP)
Troyes (KEEP)"
Aporta Games,4,0,4,"Avenue (KEEP)
Santa Maria (KEEP)
The Magnificent (KEEP)
Trails of Tucana (KEEP)"
Ravensburger,3,1,4,"Bugs in the Kitchen (KEEP)
High Society (KEEP)
The Quest for El Dorado (KEEP)
Tikal (CULL)"
